AN,NO_SEQ_COLL,MS_ACCDN,HR_ACCDN,JR_SEMN_ACCDN,GRAVITE,NB_VICTIMES_TOTAL,NB_VEH_IMPLIQUES_ACCDN,"			""REG_ADM""",VITESSE_AUTOR,CD_GENRE_ACCDN,CD_ETAT_SURFC,CD_ECLRM,CD_ENVRN_ACCDN,CD_CATEG_ROUTE,CD_ASPCT_ROUTE,"			""CD_LOCLN_ACCDN""",CD_CONFG_ROUTE,CD_ZON_TRAVX_ROUTR,CD_COND_METEO,IND_AUTO_CAMION_LEGER,IND_VEH_LOURD,IND_MOTO_CYCLO,"			""IND_VELO""",IND_PIETON
2018,2018 _ 1,1,08:00:00-11:59:00,SEM,Dommages matériels seulement,0,2.0,Capitale-Nationale (03),,véhicule,15.0,1.0,4.0,1.0,Courbe,99.0,23.0,,12.0,O,N,N,N,N
2018,2018 _ 2,1,12:00:00-15:59:00,SEM,Dommages matériels seulement,0,2.0,Montréal (06),,autre,16.0,1.0,4.0,2.0,Droit,99.0,9.0,,17.0,O,N,N,N,N
2018,2018 _ 3,1,12:00:00-15:59:00,SEM,Dommages matériels inférieurs au seuil de rapportage,0,2.0,Montréal (06), 50,véhicule,17.0,1.0,4.0,2.0,Droit,99.0,1.0,,17.0,N,O,N,N,N
2018,2018 _ 4,1,04:00:00-07:59:00,SEM,Dommages matériels inférieurs au seuil de rapportage,0,2.0,Montréal (06), 50,véhicule,16.0,1.0,4.0,2.0,Droit,99.0,23.0,,17.0,N,O,N,N,N
2018,2018 _ 5,1,12:00:00-15:59:00,SEM,Dommages matériels seulement,0,1.0,Chaudière-Appalaches (12), 50,objet fixe,11.0,1.0,3.0,1.0,Droit,99.0,23.0,,11.0,N,O,N,N,N
2018,2018 _ 6,2,00:00:00-03:59:00,FDS,Dommages matériels seulement,0,1.0,Montérégie (16),,véhicule,12.0,3.0,9.0,2.0,Droit,99.0,,,11.0,O,N,N,N,N
2018,2018 _ 7,2,08:00:00-11:59:00,SEM,Dommages matériels seulement,0,2.0,Montréal (06),,autre,11.0,1.0,4.0,2.0,Droit,99.0,9.0,,12.0,N,O,N,N,N
2018,2018 _ 8,2,16:00:00-19:59:00,SEM,Dommages matériels inférieurs au seuil de rapportage,0,1.0,Montréal (06), 50,piéton,12.0,2.0,2.0,1.0,Droit,12.0,23.0,,14.0,O,N,N,N,N
2018,2018 _ 9,3,20:00:00-23:59:00,SEM,Léger,1,2.0,Montréal (06),,véhicule,18.0,3.0,9.0,2.0,Droit,99.0,23.0,,17.0,O,O,N,N,N
2018,2018 _ 10,4,08:00:00-11:59:00,SEM,Léger,1,2.0,Montréal (06),<50,véhicule,11.0,1.0,4.0,2.0,Droit,99.0,9.0,,11.0,O,O,N,N,N
